조사일자,농가명,화방번호,과실번호,수확과중,과고,과폭,당도,산도,비고
2024-10-31,정병두,1.3333333333333333,1.0,619.53,63.93333333333334,75.36666666666666,4.6000000000000005,0.7799999999999999,0.0
2024-11-06,정병두,1.0,1.4285714285714286,1447.03,67.34285714285714,74.94285714285715,3.7,0.47285714285714286,0.0
2024-11-13,정병두,1.2,1.4,831.04,57.220000000000006,69.28,2.78,0.288,0.0
2024-11-20,정병두,1.6666666666666667,1.3333333333333333,348.01,55.800000000000004,61.96666666666667,3.233333333333333,0.21,0.0
2024-11-27,정병두,2.5,1.0,228.8,53.15,65.19999999999999,4.15,0.375,0.0
2024-12-04,정병두,2.0,2.0,519.53,61.666666666666664,70.36666666666666,1.3666666666666665,0.16333333333333333,0.0
2024-12-11,정병두,3.2857142857142856,1.1428571428571428,1017.78,56.628571428571426,65.35714285714286,3.542857142857143,0.4371428571428571,0.0
2024-12-18,정병두,3.4,1.0,918.95,63.14,72.36,3.8199999999999994,0.43,0.0
2024-12-24,정병두,3.1666666666666665,1.1666666666666667,1069.8400000000001,57.86666666666667,71.83333333333333,3.1,0.595,0.0
2025-01-02,정병두,4.0,1.0,304.03999999999996,57.65,70.55,3.8,0.415,0.0
2025-01-08,정병두,4.833333333333333,1.3333333333333333,1120.96,58.599999999999994,72.25,2.6833333333333336,0.37999999999999995,0.0
2025-01-15,정병두,4.846153846153846,1.3846153846153846,2205.73,59.03076923076923,69.64615384615385,2.4153846153846152,0.3869230769230769,0.0
2025-01-22,정병두,5.75,1.0,803.33,56.9,75.1,4.7,0.5125,0.0
2025-01-29,정병두,6.5,1.0,327.72,60.3,71.8,3.6,0.55,0.0
2025-02-05,정병두,6.428571428571429,1.4285714285714286,1264.82,59.214285714285715,73.82857142857142,2.242857142857143,0.4257142857142857,0.0
2025-02-12,정병두,7.166666666666667,1.0,1021.75,59.63333333333333,71.75,4.116666666666666,0.63,0.0
2025-02-19,정병두,7.75,1.0,837.47,58.775,81.0,4.475,0.7,0.0
2025-02-26,정병두,8.090909090909092,1.2727272727272727,1929.0900000000001,57.75454545454545,74.02727272727272,3.527272727272727,0.3790909090909091,0.0
2025-03-05,정병두,8.0,1.0909090909090908,1731.29,55.8,71.5909090909091,3.9272727272727277,0.3981818181818182,0.0
2025-03-12,정병두,9.222222222222221,1.3333333333333333,1481.7,57.41111111111112,70.8111111111111,3.2666666666666666,0.35555555555555557,0.0
2025-03-26,정병두,10.1,1.3,1568.95,55.61,70.25,2.93,0.358,0.0
2025-04-02,정병두,10.818181818181818,1.1818181818181819,1822.93,57.290909090909096,70.93636363636364,3.309090909090909,0.3654545454545454,0.0
2025-04-09,정병두,11.875,1.375,1243.38,57.6125,69.6,2.5749999999999997,0.28625,0.0
2025-04-16,정병두,12.222222222222221,1.3333333333333333,1428.04,56.58888888888889,71.58888888888889,3.033333333333333,0.34111111111111114,0.0
2025-04-23,정병두,13.166666666666666,1.25,1752.53,54.78333333333333,68.85000000000001,3.558333333333333,0.37916666666666665,0.0
2025-04-30,정병두,14.5,1.0,571.52,55.45,66.7,4.425,0.5925,0.0
2025-05-08,정병두,15.1,1.7,1547.3899999999999,57.510000000000005,69.09,2.2,0.279,0.0
2025-05-14,정병두,15.6,1.2,803.52,56.339999999999996,69.72,3.6799999999999997,0.472,0.0
2025-05-21,정병두,16.7,1.8,1640.38,57.81,70.85,2.34,0.28300000000000003,0.0
2025-05-28,정병두,17.307692307692307,1.3846153846153846,2356.78,58.76153846153846,73.31538461538462,2.8923076923076922,0.33692307692307694,0.0
2025-06-04,정병두,17.22222222222222,1.6666666666666667,1439.13,57.17777777777778,70.46666666666667,2.533333333333333,0.36666666666666664,0.0
2025-06-11,정병두,19.0,1.8461538461538463,2187.71,58.646153846153844,71.06923076923077,2.123076923076923,0.25461538461538463,0.0
2025-06-18,정병두,19.928571428571427,1.6428571428571428,2458.4,59.59285714285714,73.15714285714286,2.292857142857143,0.3314285714285714,0.0
2025-06-25,정병두,21.347826086956523,1.6956521739130435,3793.62,57.70869565217391,70.24347826086957,2.139130434782609,0.3134782608695652,0.0
2025-07-02,정병두,21.3,1.8,1303.6200000000001,55.21,64.77000000000001,1.7899999999999998,0.254,0.0
2025-07-09,정병두,22.285714285714285,1.1428571428571428,831.53,53.07142857142857,63.0,3.7857142857142856,0.53,0.0
